Player	Average Views	Total Matches
Mkleo	109087.22	156
Kurama	76522.68	38
Elegant	64995.67	3
Sparg0	63982.6	141
Fatality	61707.64	36
Protobanham	61534.69	26
Hikaru	60439.18	11
Riddles	55513.46	109
Marss	54492.47	47
Zackray	53440.5	48
Acola	48421.25	127
Kola	43890.99	103
Skyjay	42419.41	56
Onin	41544.1	39
Tea	39700.52	94
Quidd	38454.64	11
Chunkykong	36480.06	33
Glutonny	35631.44	131
Quik	35337.92	13
Tweek	33344.4	115
Light	33214.12	149
Luugi	30950.1	10
Sonix	29746.31	140
Ned	29173.1	30
Regalo	26995.83	12
Hero	26403.68	25
Kameme	26086.43	51
Cosmos	25894.92	104
Ddee	25781.53	19
Big D	25020.37	35
Esam	24779.75	4
Leon	24769.89	35
Dabuz	24044.31	114
Rizeasu	23787.43	7
Wadi	23618.59	17
Drybie	23256.5	6
Sisqui	22761.51	82
Chunky	22624.27	11
Andresfn	22280.18	11
Bloom4Eva	21690.73	33
Maister	21475.29	83
Shinymark	21303.1	31
Brood	20797.0	4
Guilheww	20606.08	13
Bassmage	19972.61	33
Peanut	19874.48	31
Creepooba	19841.0	3
Asimo	19791.15	73
Nicko	19638.4	10
Hurt	19290.33	39
Void	18628.14	14
Jdizzle	17931.62	8
Abadango	17919.35	26
Scend	17790.15	52
Snow	17550.59	22
Bacon	17520.0	13
Tilde	17344.27	52
Gackt	17117.07	95
Reno	17041.75	4
Miya	16969.84	121
Shuton	16358.67	111
Zomba	16089.51	125
Yoshidora	16073.57	47
Muteace	16020.07	81
Quandale Dinglelingleton	16013.53	19
Mpg	15982.5	6
Omuatsu	15667.33	3
Larry Lurr	15547.53	30
Kiyarash	15378.25	4
Shadic	15097.02	58
Vendetta	15093.39	28
T3 Dom	14860.53	15
Tarik	14552.48	31
Flow	14128.58	12
Atomsk	14009.75	4
Neo	13856.85	34
Moxi	13714.57	7
Ken	13668.58	90
Jake	13596.19	36
Sakana	13560.62	8
Jakal	13431.79	38
Dark Wizzy	13387.22	23
Naetoru	13286.0	9
Webbjp	12829.08	26
Atelier	12720.1	21
Yonni	12398.21	24
Axiom Xl	12178.4	10
Raru	11983.27	15
Deathspade	11818.0	8
D3_Will	11708.75	8
Apollokage	11554.57	65
Hungrybox	11522.75	16
Crepe Salee	11315.0	4
Tsubaki	11285.43	7
Nitox	11182.07	14
Iceknight	10972.25	4
Nao	10737.06	17
Peachfuzz	10710.33	3
Tamapdaifuku	10099.73	15
Beastmodepaul	10052.77	35
Armadillo	9954.83	12
Bernie	9954.25	4
Loaf	9833.5	14
Ignaize	9727.0	4
Andrik	9419.21	33
M0Tsunabe	9407.18	11
Br1 Av	9165.0	3
Motsunabe	9046.86	7
Jahzz0	8997.02	43
Smokk	8839.8	5
Shirayuki	8836.33	6
Ouch!?	8808.0	22
Chag	8790.47	49
Shogun	8668.62	13
Wildz	8541.92	12
Bonilla	8461.78	9
Phuzix	8357.67	6
Masa	8259.5	12
Yoda Cage	8254.2	15
Oolong	8248.14	7
Mvd	8115.2	25
Akasa	8067.6	5
Raflow	8029.62	32
Syrup	7910.31	29
Paseriman	7884.64	25
Lv.1	7864.62	8
Akakikusu	7857.24	17
Nair^	7828.71	7
Deltaforce	7828.6	5
Whydo	7788.4	10
Rarukun	7785.88	8
Kome	7759.68	22
Smub	7609.25	16
Henry Luma	7574.33	3
Rimu	7540.17	12
Skittles!!	7530.57	7
Mr. R	7523.13	30
Lancelot	7508.71	7
Myran	7473.0	15
Goblin	7386.4	81
Superdog	7346.2	10
Lima	7290.3	57
Rivers	7234.4	10
Jazar	7202.22	9
Yaura	7113.05	22
Omega	7083.0	34
Anathema	7035.98	46
Doramigi	7008.09	22
Lui$	6860.38	40
Chase	6815.54	26
Bloodynite	6731.75	4
Notag	6719.5	4
Ridel Castro	6639.67	3
Icymist	6586.23	13
Mr. E	6538.2	40
Cloudy	6494.84	19
Raptor	6251.12	8
Alice	6174.57	7
Jogibu	5951.38	16
Kyros	5877.25	4
Mugen	5761.41	17
Raarchyor	5756.0	5
Ogey	5714.25	8
Djdon	5705.6	5
Takera	5689.5	16
Aaron	5627.26	31
Many	5578.78	9
Sauce	5508.0	7
Mute	5481.0	5
Enhancedpv	5477.3	10
Skeleton	5447.75	4
Peabnut	5446.92	25
Naitosharp	5437.8	10
Mkbigboss	5429.38	47
Mustaine	5400.5	10
Nietono	5381.5	12
Capitancito	5334.58	24
Bonk!	5307.6	5
Kobe	5228.41	34
Skittles	5222.0	3
Sandstorm	5196.5	4
Gachipi	5133.56	9
Ling	5066.41	29
Wrath	5034.48	29
Fruits	4968.33	3
Arsenic	4928.33	6
Oryon	4907.22	9
Colorondo	4788.3	10
Alandiss	4742.38	21
Kept	4721.38	16
Atomic	4715.33	6
Peli	4699.2	10
Chocotaco	4698.0	8
Kaninabe	4616.64	14
Pineda	4598.33	3
Alternis	4563.22	9
Waka	4541.11	19
Toura	4473.71	7
Alo!	4458.5	4
Atreus	4452.17	6
Kingrobo	4450.33	3
Wasabi	4241.56	9
Tarakotori	4215.2	5
Stroder Ame	4203.0	3
Justice	4169.1	10
Spt	4135.67	3
Kreeg	4090.0	3
Shoe	4060.9	10
Suarez	4039.86	14
Luminous	3996.25	4
Bruho	3967.67	3
Akio	3921.0	4
Chon	3838.0	3
Geist	3808.56	9
Pink Fresh	3783.6	10
Apple	3769.25	8
Oats	3762.33	3
Justinbyleth	3757.0	6
Captain L	3745.0	3
Sinji	3722.78	18
Emass	3686.0	8
Javi	3662.12	17
Delta	3647.3	23
Tm7_Zap	3625.67	6
Tomberry	3621.0	9
Sintro	3595.25	8
Squidplumber	3573.8	15
Space	3541.82	17
Kyon	3538.83	6
Karaage	3490.9	10
Gatsby	3449.75	4
Beatybean	3416.8	5
Sigma	3404.25	4
Teaser	3386.0	11
Pkchris	3354.75	12
Ryuoh	3339.6	5
Yamanaction	3324.5	12
Whisky	3319.67	3
Flippy	3279.5	4
Candle	3274.09	11
Synergy	3229.88	8
Raven	3218.75	4
Huto	3215.33	9
Tropped	3215.2	5
Mystearica	3215.17	6
Senra	3186.0	4
Jagaimo	3185.83	6
Daybreak	3166.25	4
Viri	3140.4	5
Dominator	3116.38	16
Supahsemmie	3088.69	13
Grape	3084.18	11
Sweshi	3074.2	5
Pelca	3053.27	11
Umeki	3001.78	36
Shine	3000.0	3
Pellon	2997.5	4
Jeepers	2959.0	4
Makken	2908.0	4
Leaf	2907.14	7
Naytro	2882.4	5
Rideae	2878.75	4
Doorstop	2843.5	10
Streakz	2826.83	6
Nexus	2817.78	9
Beast	2789.89	36
Mezcaul	2770.3	10
Repo	2757.12	8
Toriguri	2732.12	8
Sssr	2722.4	5
Ludo	2713.0	6
Quinn	2662.93	14
Stronghold	2654.5	4
Dusk	2642.5	6
Frawg	2613.92	12
Atata	2607.2	5
Raki	2558.8	5
John Numbers	2555.73	11
Mazebeans	2546.33	3
Munekin	2543.5	6
Ddog	2535.88	8
Kyo	2484.12	17
Anarchy	2457.33	6
Lemmon	2417.44	9
Karflo	2415.0	8
Ducky	2375.75	4
Modzai	2374.71	7
Ryuk	2352.25	4
Fawn	2235.75	4
Gravity	2144.5	4
Neeroz	2139.7	10
Bwstatic	2124.5	4
Homika	2085.46	13
Ellego	2083.2	5
Frozen	2042.12	8
Monte	2020.77	13
Karu!	1982.33	3
Gswizy	1955.5	4
Zexyyy	1950.67	3
Juanpi	1948.3	10
Riku	1942.9	10
Spritzy	1791.75	4
Gorioka	1790.25	4
Shaine	1786.83	6
Momon	1784.83	6
Sonido	1762.7	10
Tabsoda	1761.4	5
Taikei	1734.62	13
Chronos	1725.5	8
Slashy	1693.6	5
Guyguy	1691.27	15
Dany	1685.25	8
Syphir	1664.0	3
Little Dyl	1651.67	3
Kinaji	1647.29	7
Jaaahsh	1616.5	6
Beastly	1605.59	17
Mata-Door	1604.33	6
Puftendo	1588.75	4
Andrewt	1582.33	3
Geemoney$	1573.25	4
Helpr	1562.5	4
Yuzu	1489.25	4
Epic_Gabriel	1442.33	3
Rondor	1422.0	5
Fresh	1419.83	6
Untaymed	1399.67	3
Scatt	1393.25	4
Trim	1384.57	14
Mfa	1354.89	9
Eleven	1349.33	3
Tope	1339.25	4
Midnight	1339.0	13
Nanchan	1313.67	3
Tyranks	1307.57	7
Clovers	1244.0	3
Bestia	1225.33	3
Flip	1208.0	5
Mao	1200.8	5
Letitrain	1199.0	4
Marcos	1189.67	3
Ryopei	1179.0	4
Towa	1159.0	4
Morly!	1158.5	4
Deepblue	1135.33	3
Wonf	1122.25	4
Tachyon	1108.33	3
Amaryllis	1104.71	7
Senn	1094.73	11
Tony Pajamas	1078.67	6
Naocha	1065.67	3
Klaatu	1061.0	3
Merf	1045.0	7
Mauu	1031.2	5
Kenoca	1023.0	3
Spickles	1015.86	7
Soar	1009.75	8
Lightningcam	1007.67	3
Steffen	997.57	7
Kasawi	988.0	4
Shady	985.43	7
Surehyper	980.2	5
Sora_J	976.33	3
Andromeda	975.67	3
Osh9	975.0	3
Sled	963.67	3
Izaiah	960.67	3
Illusion	950.0	3
Wheezer	947.8	5
Cody	938.2	5
Stocktaker69	912.25	4
Marvelous_Marco	906.75	4
Samuel	905.6	5
Grymlynn	890.0	5
Jiggs	886.4	5
Nizemamo	866.2	5
Jmafia	865.0	3
Jabes	849.33	3
Omnilax	833.5	4
Pink Cage	791.17	6
Applewiz	773.67	3
Tavares	759.75	4
Lemontea	754.0	7
Awdasea	733.8	5
Spandex	731.0	4
Nitro	727.0	4
Vortex	709.33	3
Boodabam	686.0	3
Brando	664.0	5
Emdy	662.5	4
Dany2Theny	658.0	3
Ryukai	619.17	6
Alexdisc	614.0	3
Longo	611.62	8
Vivid	595.67	6
Sumgai	577.67	3
G-Xtreme	504.17	6
Haven	445.0	4
Seibrik	350.5	4
