Player	Comments Per View	Total Comments	Total Views
Onin	0.0069	11219	1620220
Jake	0.006	2926	489463
Wrath	0.0059	862	146000
Yonni	0.0053	1565	297557
Sonix	0.0052	21626	4164484
Quandale Dinglelingleton	0.005	1529	304257
Ddee	0.0047	2313	489849
Hungrybox	0.0047	859	184364
Smub	0.0045	543	121748
Acola	0.0043	26231	6149499
Capitancito	0.0042	537	128030
Luugi	0.0041	1275	309501
Wildz	0.004	413	102503
Maister	0.0039	7022	1782449
Tamapdaifuku	0.0039	595	151496
Larry Lurr	0.0039	1830	466426
Miya	0.0039	8000	2053351
Void	0.0039	1008	260794
Lima	0.0039	1605	415547
Myran	0.0038	426	112095
Andresfn	0.0037	918	245082
Peanut	0.0037	2300	616109
Syrup	0.0037	853	229399
Dabuz	0.0037	10142	2741051
Cloudy	0.0037	456	123402
Big D	0.0036	3182	875713
Peabnut	0.0036	490	136173
Jahzz0	0.0036	1383	386872
Webbjp	0.0035	1181	333556
Bacon	0.0035	801	227760
Marss	0.0035	8896	2561146
Shadic	0.0035	3030	875627
Tweek	0.0034	13209	3834606
Shinymark	0.0034	2254	660396
Beastmodepaul	0.0033	1176	351847
Hurt	0.0033	2510	752323
Riddles	0.0033	19772	6050967
Mvd	0.0033	662	202880
Yoda Cage	0.0033	404	123813
Regalo	0.0032	1051	323950
Quidd	0.0032	1361	423001
Kome	0.0032	546	170713
Muteace	0.0032	4137	1297626
Shogun	0.0032	359	112692
Guilheww	0.0032	846	267879
Wadi	0.0031	1262	401516
Nitox	0.0031	492	156549
Beast	0.0031	315	100436
T3 Dom	0.0031	699	222908
Ling	0.0031	460	146926
Zomba	0.0031	6271	2011189
Cosmos	0.0031	8382	2693072
Chunkykong	0.0031	3734	1203842
Light	0.0031	15331	4948904
Snow	0.0031	1193	386113
Tilde	0.0031	2773	901902
Bloom4Eva	0.0031	2186	715794
Ken	0.003	3730	1230172
Kobe	0.003	538	177766
Armadillo	0.003	361	119458
Aaron	0.003	523	174445
Mr. E	0.003	782	261528
Raru	0.0029	527	179749
Protobanham	0.0029	4687	1599902
Scend	0.0029	2642	925088
Andrik	0.0028	885	310834
Loaf	0.0028	391	137669
Elegant	0.0028	549	194987
Apollokage	0.0028	2098	751047
Axiom Xl	0.0027	334	121784
Glutonny	0.0027	12783	4667719
Chase	0.0027	485	177204
Omega	0.0027	658	240822
Dark Wizzy	0.0027	837	307906
Goblin	0.0027	1609	598298
Mr. R	0.0027	605	225694
Anathema	0.0027	862	323655
Bassmage	0.0026	1719	659096
Doramigi	0.0026	402	154178
Kola	0.0026	11782	4520772
Sparg0	0.0026	23264	9021547
Fatality	0.0026	5718	2221475
Jakal	0.0026	1306	510408
Abadango	0.0025	1181	465903
Chag	0.0025	1074	430733
Yaura	0.0025	388	156487
Naetoru	0.0025	293	119574
Sisqui	0.0024	4554	1866444
Mkleo	0.0024	41479	17017607
Ouch!?	0.0024	471	193776
Skyjay	0.0024	5760	2375487
Shuton	0.0024	4391	1815812
Chunky	0.0024	600	248867
Zackray	0.0024	6032	2565144
Mkbigboss	0.0023	593	255181
Lui$	0.0023	637	274415
Neo	0.0023	1090	471133
Vendetta	0.0023	977	422615
Quik	0.0023	1054	459393
Kameme	0.0022	2990	1330408
Yoshidora	0.0022	1672	755458
Nicko	0.0022	425	196384
Tea	0.0022	8063	3731849
Asimo	0.0021	3094	1444754
Raflow	0.0021	540	256948
Umeki	0.0021	227	108064
Drybie	0.0021	293	139539
Akakikusu	0.0021	279	133573
Ned	0.002	1792	875193
Nao	0.002	372	182530
Gackt	0.002	3294	1626122
Atelier	0.002	534	267122
Leon	0.002	1732	866946
Nagare	0.002	271	137569
Tarik	0.002	883	451127
Jdizzle	0.0019	277	143453
Hero	0.0019	1242	660092
Paseriman	0.0018	346	197116
Hikaru	0.0017	1126	664831
M0Tsunabe	0.0016	168	103479
Kurama	0.0016	4592	2907862
Flow	0.0014	243	169543
Sakana	0.0014	154	108485
Rizeasu	0.0014	225	166512
