Character	Likes Per View	Total Likes	Total Views
Little Mac	0.0339	23080	680784
Isabelle	0.0303	4559	150278
Ice Climbers	0.0297	30985	1043399
Incineroar	0.0293	73851	2516670
Mewtwo	0.0293	12054	411156
Banjo & Kazooie	0.0293	3940	134400
King Dedede	0.0292	6279	214714
King K. Rool	0.0291	4973	170909
Inkling	0.0291	6832	234972
Richter	0.0286	11949	418349
Ken	0.0286	27317	956671
Duck Hunt	0.0282	2690	95350
Terry	0.0282	85506	3037255
Dr. Mario	0.0279	9520	341127
Lucas	0.0278	17471	627593
Chrom	0.0277	8558	308419
Captain Falcon	0.0277	80231	2899087
Luigi	0.0276	30425	1103792
Bowser Jr.	0.0275	6271	228335
Lucario	0.0273	6698	245009
Zero Suit Samus	0.0273	67944	2491867
Toon Link	0.0271	5539	204078
Mii Gunner	0.0271	4397	162174
Bayonetta	0.0269	40584	1507479
Peach	0.0269	41107	1528420
Ike	0.0269	5679	211200
Fox	0.0268	148042	5525613
Ganondorf	0.0267	2581	96664
Pokemon Trainer	0.0265	32423	1223594
Jigglypuff	0.0265	24807	937569
Pikachu	0.0263	24142	916712
Young Link	0.0263	15135	575891
Hero	0.0262	18401	701132
Falco	0.0261	43835	1680676
Meta Knight	0.0259	19593	756322
Samus	0.0259	46348	1789609
Rosalina and Luma	0.0257	57286	2232406
Kirby	0.0256	9874	385267
Palutena	0.0256	40098	1568154
Zelda	0.0255	5628	220991
	0.0255	1568	61587
Wolf	0.0253	36865	1454777
Roy	0.0253	165682	6556554
Link	0.0252	10035	398618
Wii Fit Trainer	0.0252	5517	219350
Wario	0.0251	132671	5295608
Snake	0.025	63080	2519713
Dark Samus	0.025	31215	1247024
Robin	0.0249	8382	336651
Villager	0.0249	4656	187255
Shulk	0.0247	16244	656873
Diddy Kong	0.0247	90141	3653600
Sonic	0.0245	132831	5417256
Mega Man	0.0244	17837	730198
Ridley	0.0242	9420	388540
Daisy	0.0242	3526	145987
Cloud	0.0241	218939	9077557
ROB	0.0241	100551	4172883
Pyra & Mythra	0.0238	215334	9041240
Corrin	0.0238	75529	3174225
Piranha Plant	0.0237	3079	129817
Joker	0.0236	193014	8163188
Greninja	0.0236	20996	888744
Min Min	0.0236	64631	2740467
Kazuya	0.0234	187420	8010742
Steve	0.0232	225011	9684216
Yoshi	0.0231	25735	1116328
Sheik	0.023	32603	1414955
Donkey Kong	0.0229	59882	2618724
Sephiroth	0.0226	65669	2905497
Sora	0.0226	45419	2011449
Byleth	0.0224	167496	7492895
Ryu	0.0223	55703	2498107
Mario	0.0223	92686	4160862
Mr. Game and Watch	0.022	89618	4067186
Pichu	0.022	8135	369480
Ness	0.0219	64285	2937444
Bowser	0.0217	30782	1419813
Mii Brawler	0.0215	6250	290459
Lucina	0.0215	37848	1760070
Marth	0.0213	14111	663134
Mii Swordfighter	0.0208	1767	84968
Pac-Man	0.0208	41825	2014389
Olimar	0.0207	30710	1486371
Pit	0.0194	27652	1428002
Dark Pit	0.0191	8224	431178
Simon	0.0133	1062	79855
