Player	Likes Per View	Total Likes	Total Views
Peanut	0.0342	21049	616109
Beast	0.0341	3426	100436
Andresfn	0.0325	7971	245082
Luugi	0.0312	9654	309501
Vendetta	0.0306	12928	422615
Peabnut	0.0302	4110	136173
Smub	0.0302	3674	121748
Yoda Cage	0.0301	3725	123813
Quidd	0.0299	12650	423001
Webbjp	0.0299	9965	333556
Big D	0.0298	26136	875713
Wadi	0.0298	11959	401516
Larry Lurr	0.0297	13868	466426
Yonni	0.0296	8812	297557
Skyjay	0.0295	70053	2375487
Syrup	0.0295	6760	229399
Andrik	0.0293	9094	310834
Mkbigboss	0.0293	7469	255181
Jahzz0	0.0288	11152	386872
Bacon	0.0288	6551	227760
Ling	0.0288	4235	146926
Elegant	0.0287	5594	194987
Nitox	0.0287	4486	156549
Ddee	0.0282	13792	489849
Regalo	0.0282	9130	323950
Loaf	0.0282	3882	137669
Goblin	0.0281	16833	598298
Lima	0.0281	11695	415547
Doramigi	0.028	4316	154178
Beastmodepaul	0.0279	9834	351847
Marss	0.0276	70727	2561146
Fatality	0.0276	61388	2221475
Capitancito	0.0276	3532	128030
Omega	0.0275	6620	240822
Shinymark	0.0274	18112	660396
Armadillo	0.0274	3278	119458
Light	0.0271	134174	4948904
Onin	0.0271	43953	1620220
Tilde	0.0271	24450	901902
Chase	0.027	4782	177204
Muteace	0.0267	34584	1297626
Apollokage	0.0267	20090	751047
Shadic	0.0266	23299	875627
Cloudy	0.0266	3287	123402
Anathema	0.0265	8583	323655
Mvd	0.0265	5373	202880
Hungrybox	0.0264	4868	184364
Axiom Xl	0.0264	3214	121784
Myran	0.0264	2954	112095
Riddles	0.0262	158418	6050967
Quik	0.0262	12016	459393
Bloom4Eva	0.0261	18713	715794
Bassmage	0.026	17147	659096
Guilheww	0.026	6970	267879
Mr. R	0.026	5867	225694
T3 Dom	0.026	5800	222908
Chag	0.0259	11159	430733
Aaron	0.0259	4521	174445
Wildz	0.0258	2641	102503
Raflow	0.0257	6598	256948
Chunkykong	0.0255	30652	1203842
Lui$	0.0255	6985	274415
Kobe	0.0255	4531	177766
Sonix	0.0254	105740	4164484
Dabuz	0.0254	69595	2741051
Shogun	0.0252	2837	112692
Cosmos	0.0251	67641	2693072
Sisqui	0.0251	46755	1866444
Glutonny	0.025	116717	4667719
Maister	0.025	44477	1782449
Jake	0.025	12213	489463
Kola	0.0248	112335	4520772
Tarik	0.0248	11188	451127
Quandale Dinglelingleton	0.0247	7501	304257
Chunky	0.0247	6148	248867
Nicko	0.0247	4859	196384
Tweek	0.0246	94174	3834606
Zomba	0.0246	49551	2011189
Void	0.0246	6421	260794
Dark Wizzy	0.0245	7551	307906
Ouch!?	0.0243	4702	193776
Sparg0	0.024	216529	9021547
Mr. E	0.024	6271	261528
Umeki	0.024	2594	108064
Akakikusu	0.0238	3182	133573
Kome	0.0237	4052	170713
Jakal	0.0235	12011	510408
Raru	0.0235	4217	179749
Jdizzle	0.0235	3375	143453
Ned	0.0234	20446	875193
Wrath	0.0234	3416	146000
Naetoru	0.0234	2802	119574
Scend	0.0232	21423	925088
Snow	0.0232	8964	386113
Mkleo	0.0231	392627	17017607
Tamapdaifuku	0.0231	3507	151496
Leon	0.023	19943	866946
Hurt	0.0227	17084	752323
Asimo	0.0224	32330	1444754
Yoshidora	0.0221	16731	755458
Flow	0.022	3724	169543
Yaura	0.022	3448	156487
Abadango	0.0218	10173	465903
Sakana	0.0216	2340	108485
Tea	0.0213	79445	3731849
Kurama	0.0211	61478	2907862
Acola	0.0208	127896	6149499
Kameme	0.0208	27654	1330408
Nao	0.0205	3744	182530
Paseriman	0.0202	3977	197116
Ken	0.0201	24718	1230172
Shuton	0.0199	36111	1815812
Gackt	0.0199	32331	1626122
Neo	0.0198	9337	471133
Protobanham	0.0196	31326	1599902
Drybie	0.0194	2707	139539
Hikaru	0.0193	12826	664831
Miya	0.0192	39364	2053351
Hero	0.0186	12307	660092
Atelier	0.0184	4907	267122
M0Tsunabe	0.0183	1893	103479
Zackray	0.0177	45480	2565144
Rizeasu	0.0159	2654	166512
Nagare	0.0145	1997	137569
